query_id,query,epsilon,true_answer,laplace_answer,discrete_laplace_answer,gaussian_answer,discrete_gaussian_answer,a1b1_result,a2b1_result,a3b1_result,a1b2_result,a2b2_result,a3b2_result
13,What therapy types are used for treating Generalized Anxiety?,0.8993786248373329,"""['Dialectical Behavioral Therapy' 'Interpersonal Therapy'\n 'Mindfulness-Based Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Interpersonal Therapy'\n 'Mindfulness-Based Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Interpersonal Therapy'\n 'Mindfulness-Based Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Interpersonal Therapy'\n 'Mindfulness-Based Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Interpersonal Therapy'\n 'Mindfulness-Based Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Interpersonal Therapy'\n 'Mindfulness-Based Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Interpersonal Therapy'\n 'Mindfulness-Based Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Interpersonal Therapy'\n 'Mindfulness-Based Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Interpersonal Therapy'\n 'Mindfulness-Based Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Interpersonal Therapy'\n 'Mindfulness-Based Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Interpersonal Therapy'\n 'Mindfulness-Based Therapy' 'Cognitive Behavioral Therapy']"""
14,What percentage of Generalized Anxiety patients showed improvement?,0.9181457884751146,"""The result is [DP]39.26[/DP].""","""The result is 37.87.""","""The result is 39.26.""","""The result is 47.07.""","""The result is 39.26.""","""The result is [DP]0.0694[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]21.9594[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]1.6955[/DP]."""
15,How many patients have been diagnosed with Bipolar Disorder?,0.1,"""The result is [DP]124[/DP].""","""The result is 121.96.""","""The result is 124.0.""","""The result is 106.73.""","""The result is 300.0.""","""The result is [DP]662.2508[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]196.7539[/DP].""","""The result is [DP]999.9344[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]175.3251[/DP]."""
16,What is the average mood score of patients with Bipolar Disorder?,0.9145856197269706,"""The result is [DP]5.54[/DP].""","""The result is 5.35.""","""The result is 2.54.""","""The result is 0.7.""","""The result is 9.54.""","""The result is [DP]0.0003[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]1.119[/DP].""","""The result is [DP]0.0003[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]4.6595[/DP]."""
17,What is the average treatment duration for Bipolar Disorder?,0.25312319302722175,"""The result is [DP]12.16[/DP].""","""The result is 16.15.""","""The result is 12.16.""","""The result is 44.35.""","""The result is 26.16.""","""The result is [DP]0.0375[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]63.4954[/DP].""","""The result is [DP]0.0001[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]77.5104[/DP]."""
18,What therapy types are used for treating Bipolar Disorder?,1.350541224549904,"""['Dialectical Behavioral Therapy' 'Mindfulness-Based Therapy'\n 'Interpersonal Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Mindfulness-Based Therapy'\n 'Interpersonal Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Mindfulness-Based Therapy'\n 'Interpersonal Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Mindfulness-Based Therapy'\n 'Interpersonal Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Mindfulness-Based Therapy'\n 'Interpersonal Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Mindfulness-Based Therapy'\n 'Interpersonal Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Mindfulness-Based Therapy'\n 'Interpersonal Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Mindfulness-Based Therapy'\n 'Interpersonal Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Mindfulness-Based Therapy'\n 'Interpersonal Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Mindfulness-Based Therapy'\n 'Interpersonal Therapy' 'Cognitive Behavioral Therapy']""","""['Dialectical Behavioral Therapy' 'Mindfulness-Based Therapy'\n 'Interpersonal Therapy' 'Cognitive Behavioral Therapy']"""
19,What percentage of Bipolar Disorder patients showed improvement?,0.9189598761607718,"""The result is [DP]35.48[/DP].""","""The result is 32.63.""","""The result is 37.48.""","""The result is 29.65.""","""The result is 31.48.""","""The result is [DP]0.0003[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]118.9797[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]50.324[/DP]."""
20,How many patients are on Mood Stabilizers?,0.25312319302722175,"""The result is [DP]87[/DP].""","""The result is 77.01.""","""The result is 87.0.""","""The result is 64.6.""","""The result is 62.0.""","""The result is [DP]7.5622[/DP].""","""The result is [DP]323.082[/DP].""","""The result is [DP]123.3542[/DP].""","""The result is [DP]8.457[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]715.2587[/DP]."""
21,What is the average adherence for patients on Mood Stabilizers?,0.18273699254356746,"""The result is [DP]75.25[/DP].""","""The result is 73.6.""","""The result is 75.25.""","""The result is 104.51.""","""The result is 69.25.""","""The result is [DP]951.9842[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]71.2956[/DP].""","""The result is [DP]875.9176[/DP].""","""The result is [DP]841.9855[/DP].""","""The result is [DP]784.024[/DP]."""
22,How effective is Mood Stabilizers in terms of outcome?,0.23211822891717815,"""Improved: [DP]0.44[/DP] Deteriorated: [DP]0.29[/DP] No Change: [DP]0.28[/DP]""","""Improved: 0.11 Deteriorated: 0 No Change: 6.35""","""Improved: 0.44 Deteriorated: 0.29 No Change: 0""","""Improved: 0 Deteriorated: 0 No Change: 0""","""Improved: 0 Deteriorated: 20.29 No Change: 0""","""Improved: [DP]5.6577[/DP] Deteriorated: [DP]0.0004[/DP] No Change: [DP]446.1279[/DP]""","""Improved: [DP]nan[/DP] Deteriorated: [DP]nan[/DP] No Change: [DP]0.0[/DP]""","""Improved: [DP]0.7915[/DP] Deteriorated: [DP]0.007[/DP] No Change: [DP]0.2293[/DP]""","""Improved: [DP]998.6357[/DP] Deteriorated: [DP]998.7332[/DP] No Change: [DP]0.0004[/DP]""","""Improved: [DP]nan[/DP] Deteriorated: [DP]nan[/DP] No Change: [DP]445.2803[/DP]""","""Improved: [DP]0.0101[/DP] Deteriorated: [DP]0.0571[/DP] No Change: [DP]0.0163[/DP]"""
23,What is the average stress level of patients on Mood Stabilizers?,1.1038400552956573,"""The result is [DP]7.66[/DP].""","""The result is 6.16.""","""The result is 13.66.""","""The result is 13.1.""","""The result is 1.66.""","""The result is [DP]0.0001[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.5029[/DP].""","""The result is [DP]5.8459[/DP].""","""The result is [DP]883.8035[/DP].""","""The result is [DP]25.5562[/DP]."""
24,How many patients are on Antipsychotics?,0.9189598761607718,"""The result is [DP]87[/DP].""","""The result is 88.25.""","""The result is 87.0.""","""The result is 84.78.""","""The result is 86.0.""","""The result is [DP]0.2459[/DP].""","""The result is [DP]851.6424[/DP].""","""The result is [DP]75.9438[/DP].""","""The result is [DP]999.9973[/DP].""","""The result is [DP]409.2004[/DP].""","""The result is [DP]15.8933[/DP]."""
25,What is the average adherence for patients on Antipsychotics?,1.0368546195518356,"""The result is [DP]74.15[/DP].""","""The result is 74.89.""","""The result is 74.15.""","""The result is 72.49.""","""The result is 70.15.""","""The result is [DP]997.0784[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]392.1733[/DP].""","""The result is [DP]617.2122[/DP].""","""The result is [DP]835.309[/DP].""","""The result is [DP]591.1024[/DP]."""
26,How effective is Antipsychotics in terms of outcome?,1.1038400552956573,"""Deteriorated: [DP]0.34[/DP] Improved: [DP]0.33[/DP] No Change: [DP]0.32[/DP]""","""Deteriorated: 0 Improved: 0.6 No Change: 0""","""Deteriorated: 0 Improved: 0 No Change: 2.32""","""Deteriorated: 9.48 Improved: 0 No Change: 0""","""Deteriorated: 0 Improved: 0 No Change: 7.32""","""Deteriorated: [DP]945.2592[/DP] Improved: [DP]850.1402[/DP] No Change: [DP]833.2485[/DP]""","""Deteriorated: [DP]nan[/DP] Improved: [DP]731.6966[/DP] No Change: [DP]nan[/DP]""","""Deteriorated: [DP]0.0947[/DP] Improved: [DP]1.1783[/DP] No Change: [DP]0.2156[/DP]""","""Deteriorated: [DP]7.7485[/DP] Improved: [DP]0.0[/DP] No Change: [DP]0.0131[/DP]""","""Deteriorated: [DP]nan[/DP] Improved: [DP]859.3097[/DP] No Change: [DP]nan[/DP]""","""Deteriorated: [DP]0.0081[/DP] Improved: [DP]0.0481[/DP] No Change: [DP]0.034[/DP]"""
27,What is the average stress level of patients on Antipsychotics?,1.350541224549904,"""The result is [DP]7.47[/DP].""","""The result is 7.78.""","""The result is 1.47.""","""The result is 5.56.""","""The result is 6.47.""","""The result is [DP]0.0001[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]52.5656[/DP].""","""The result is [DP]989.8119[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]143.8465[/DP]."""
28,How many patients are on SSRIs?,0.5226303807974494,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 0.""","""The result is 20.0.""","""The result is [DP]14.5976[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0001[/DP].""","""The result is [DP]7.1129[/DP].""","""The result is [DP]998.1531[/DP].""","""The result is [DP]0.0058[/DP]."""
29,What is the average adherence for patients on SSRIs?,0.1,"""The result is [DP]75.69[/DP].""","""The result is 73.21.""","""The result is 75.69.""","""The result is 77.73.""","""The result is 0.""","""The result is [DP]920.1133[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]21.819[/DP].""","""The result is [DP]370.0952[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]316.2886[/DP]."""
30,How effective is SSRIs in terms of outcome?,1.1038400552956573,"""No Change: [DP]0.37[/DP] Improved: [DP]0.35[/DP] Deteriorated: [DP]0.28[/DP]""","""No Change: 0.32 Improved: 1.28 Deteriorated: 0.34""","""No Change: 0 Improved: 0 Deteriorated: 0.28""","""No Change: 0 Improved: 0 Deteriorated: 3.58""","""No Change: 0 Improved: 0 Deteriorated: 4.28""","""No Change: [DP]0.3473[/DP] Improved: [DP]974.6101[/DP] Deteriorated: [DP]1.1992[/DP]""","""No Change: [DP]nan[/DP] Improved: [DP]nan[/DP] Deteriorated: [DP]nan[/DP]""","""No Change: [DP]0.1814[/DP] Improved: [DP]0.9317[/DP] Deteriorated: [DP]0.2523[/DP]""","""No Change: [DP]2.878[/DP] Improved: [DP]0.0[/DP] Deteriorated: [DP]0.0223[/DP]""","""No Change: [DP]0.0[/DP] Improved: [DP]nan[/DP] Deteriorated: [DP]nan[/DP]""","""No Change: [DP]0.0101[/DP] Improved: [DP]0.0114[/DP] Deteriorated: [DP]0.0828[/DP]"""
31,What is the average stress level of patients on SSRIs?,1.0368546195518356,"""The result is [DP]7.61[/DP].""","""The result is 7.84.""","""The result is 7.61.""","""The result is 12.47.""","""The result is 4.61.""","""The result is [DP]786.6135[/DP].""","""The result is [DP]820.679[/DP].""","""The result is [DP]107.2508[/DP].""","""The result is [DP]0.0002[/DP].""","""The result is [DP]778.7447[/DP].""","""The result is [DP]7.9888[/DP]."""
32,How many patients are on Anxiolytics?,0.794007125837763,"""The result is [DP]71[/DP].""","""The result is 71.72.""","""The result is 72.0.""","""The result is 72.77.""","""The result is 65.0.""","""The result is [DP]999.7018[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]415.6816[/DP].""","""The result is [DP]330.0146[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]2.817[/DP]."""
33,What is the average adherence for patients on Anxiolytics?,0.21977188989255456,"""The result is [DP]76.44[/DP].""","""The result is 69.39.""","""The result is 76.44.""","""The result is 111.4.""","""The result is 20.44.""","""The result is [DP]5.6853[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]13.4147[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]97.0378[/DP]."""
34,How effective is Anxiolytics in terms of outcome?,0.1,"""Deteriorated: [DP]0.38[/DP] No Change: [DP]0.34[/DP] Improved: [DP]0.28[/DP]""","""Deteriorated: 2.72 No Change: 5.95 Improved: 1.26""","""Deteriorated: 0.38 No Change: 0.34 Improved: 0.28""","""Deteriorated: 36.05 No Change: 65.04 Improved: 57.86""","""Deteriorated: 0 No Change: 26.34 Improved: 0""","""Deteriorated: [DP]16.7989[/DP] No Change: [DP]0.0644[/DP] Improved: [DP]0.0004[/DP]""","""Deteriorated: [DP]nan[/DP] No Change: [DP]nan[/DP] Improved: [DP]nan[/DP]""","""Deteriorated: [DP]0.8097[/DP] No Change: [DP]2.1801[/DP] Improved: [DP]0.406[/DP]""","""Deteriorated: [DP]998.1942[/DP] No Change: [DP]648.2615[/DP] Improved: [DP]0.0207[/DP]""","""Deteriorated: [DP]0.0[/DP] No Change: [DP]nan[/DP] Improved: [DP]183.9743[/DP]""","""Deteriorated: [DP]0.0102[/DP] No Change: [DP]2.5039[/DP] Improved: [DP]2.1911[/DP]"""
35,What is the average stress level of patients on Anxiolytics?,0.1,"""The result is [DP]7.7[/DP].""","""The result is 4.49.""","""The result is 7.7.""","""The result is 6.3.""","""The result is 6.7.""","""The result is [DP]2.8906[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]3.3367[/DP].""","""The result is [DP]999.9987[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.4478[/DP]."""
36,How many patients are on Antidepressants?,0.8617224173568258,"""The result is [DP]76[/DP].""","""The result is 77.57.""","""The result is 76.0.""","""The result is 79.36.""","""The result is 76.0.""","""The result is [DP]960.9036[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]201.1751[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]562.769[/DP]."""
37,What is the average adherence for patients on Antidepressants?,0.918142078633442,"""The result is [DP]75.61[/DP].""","""The result is 75.41.""","""The result is 75.61.""","""The result is 75.97.""","""The result is 67.61.""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]140.2353[/DP].""","""The result is [DP]0.0615[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]315.5152[/DP]."""
38,How effective is Antidepressants in terms of outcome?,1.0368546195518356,"""Deteriorated: [DP]0.42[/DP] Improved: [DP]0.3[/DP] No Change: [DP]0.28[/DP]""","""Deteriorated: 0 Improved: 0 No Change: 0""","""Deteriorated: 0 Improved: 0.3 No Change: 1.28""","""Deteriorated: 2.37 Improved: 0 No Change: 6.58""","""Deteriorated: 0 Improved: 1.3 No Change: 3.28""","""Deteriorated: [DP]0.0[/DP] Improved: [DP]0.0[/DP] No Change: [DP]690.6867[/DP]""","""Deteriorated: [DP]0.0[/DP] Improved: [DP]nan[/DP] No Change: [DP]726.1663[/DP]""","""Deteriorated: [DP]0.5487[/DP] Improved: [DP]0.1844[/DP] No Change: [DP]0.0426[/DP]""","""Deteriorated: [DP]998.6504[/DP] Improved: [DP]0.0078[/DP] No Change: [DP]949.368[/DP]""","""Deteriorated: [DP]735.9196[/DP] Improved: [DP]nan[/DP] No Change: [DP]0.0[/DP]""","""Deteriorated: [DP]1.7326[/DP] Improved: [DP]0.18[/DP] No Change: [DP]2.1786[/DP]"""
39,What is the average stress level of patients on Antidepressants?,0.5226303807974494,"""The result is [DP]7.67[/DP].""","""The result is 7.2.""","""The result is 8.67.""","""The result is 6.09.""","""The result is 17.67.""","""The result is [DP]0.0156[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.2256[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]8.3368[/DP]."""
40,How many patients are on Benzodiazepines?,0.23211822891717815,"""The result is [DP]90[/DP].""","""The result is 89.68.""","""The result is 89.0.""","""The result is 49.64.""","""The result is 114.0.""","""The result is [DP]0.048[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]72.668[/DP].""","""The result is [DP]999.9973[/DP].""","""The result is [DP]613.4945[/DP].""","""The result is [DP]431.4342[/DP]."""
41,What is the average adherence for patients on Benzodiazepines?,0.5226303807974494,"""The result is [DP]75.78[/DP].""","""The result is 77.11.""","""The result is 75.78.""","""The result is 74.83.""","""The result is 83.78.""","""The result is [DP]0.0101[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]31.2285[/DP].""","""The result is [DP]444.8036[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]33.5486[/DP]."""
42,How effective is Benzodiazepines in terms of outcome?,1.0368546195518356,"""Deteriorated: [DP]0.36[/DP] Improved: [DP]0.32[/DP] No Change: [DP]0.32[/DP]""","""Deteriorated: 1.9 Improved: 0 No Change: 2.47""","""Deteriorated: 0 Improved: 2.32 No Change: 1.32""","""Deteriorated: 0.56 Improved: 0.11 No Change: 5.61""","""Deteriorated: 1.36 Improved: 0.32 No Change: 0""","""Deteriorated: [DP]0.0057[/DP] Improved: [DP]620.6331[/DP] No Change: [DP]0.0003[/DP]""","""Deteriorated: [DP]nan[/DP] Improved: [DP]0.0[/DP] No Change: [DP]nan[/DP]""","""Deteriorated: [DP]0.0484[/DP] Improved: [DP]0.2977[/DP] No Change: [DP]0.1317[/DP]""","""Deteriorated: [DP]999.9836[/DP] Improved: [DP]320.2729[/DP] No Change: [DP]0.0005[/DP]""","""Deteriorated: [DP]655.443[/DP] Improved: [DP]0.0[/DP] No Change: [DP]nan[/DP]""","""Deteriorated: [DP]0.0091[/DP] Improved: [DP]0.0096[/DP] No Change: [DP]0.0067[/DP]"""
43,What is the average stress level of patients on Benzodiazepines?,0.25312319302722175,"""The result is [DP]7.2[/DP].""","""The result is 2.37.""","""The result is 7.2.""","""The result is 0.""","""The result is 0.""","""The result is [DP]10.9655[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]104.8015[/DP].""","""The result is [DP]999.9995[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.1736[/DP]."""
44,How many patients received Interpersonal Therapy?,0.8617224173568258,"""The result is [DP]124[/DP].""","""The result is 124.1.""","""The result is 122.0.""","""The result is 119.84.""","""The result is 131.0.""","""The result is [DP]9.2368[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]73.8934[/DP].""","""The result is [DP]0.5935[/DP].""","""The result is [DP]797.2247[/DP].""","""The result is [DP]4.2447[/DP]."""
45,What is the average symptom severity for patients in Interpersonal Therapy?,0.9181457884751146,"""The result is [DP]7.71[/DP].""","""The result is 6.84.""","""The result is 10.71.""","""The result is 7.19.""","""The result is 10.71.""","""The result is [DP]0.0138[/DP].""","""The result is [DP]813.3347[/DP].""","""The result is [DP]7.114[/DP].""","""The result is [DP]739.5614[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.3402[/DP]."""
